searchSlur,Slur,Represents,Reason
bogan,Bogan,Australians,New Zealand/Australian white trash or rednecks. Appearance : Typically clad in black rib jersey (Hallensteins $49.95)black jeans and a shredded black heavy-metal t-shirt. Clothing with beerlogos is an acceptable alternative to above - Waikato is favourite. Blackoil stains on skin optional. A curious feature is the haircut whichalthough short(ish) at the front and sides is long and straggly at theback. The cover thus provided enables one to distinguish the bogan fromthe redndeck . Habitat : The beach in summer but only those with free road access. MtMaunganui provides a typical bogan haunt. Despite the heat bogans NEVERexpose their torsos even when swimming. Science has yet to explain whythey refuse to shed their protective coating of black fabric. Bogans maybe found at all times on back roads at rugby matches and in public bars.If you can't see a bogan straight away they may be shy - try watching theolder Holden Kingswoods for activity. Feeding : Copious quantities of beer provide all the nourishment a Boganrequires. Reproduction : Bogans appear to be exclusively male. Females are activelyrepelled by cries of getchagearsoff or showusyagrowler if they dareventure too close. Like geeks rugbyheads and best friends of populargirls the Bogan is the non-viable offspring of apparently fertilehumans. Seldom seen in numbers fewer than three. Source: NZ.com & UD
bohunk,Bohunk,Hungarians,May be a contraction of 'Bohemian/Hungarian' and might refer to Hungarians Czechs and Ukrainians (As well as Russians).  Possibly of Slavic origin. See: Honky.
bolillo,Bolillo,Whites,Mexicans use it to refer to white people: bolillo=white bread bun
bolita,Bolita,Bolivian,Argentines refer to the poorer Bolivian immigrants who live in Argentina as bolitas. It means small balls in Spanish.
bologna,Bologna,Italians,Reference to Bologna Italy
bomb,Bomb,Blacks,Bombs in cartoons are typically black
bombwatcher,Bomb Watcher,Japanese,Refers to atom bombs the US dropped on Hiroshima and Nagasaki in WWII.
bomb-builder,Bomb-Builder,Arabs,Many terrorists nowadays are Arabs.
bones,Bones,Jews,Reference to the holocaust when Jews were often worked so hard they were turned into a mere pile of bones.
bonky,Bonky,Blacks,Name for blacks who act or talk white
boogalee,Boogalee,Cajuns,May be a corruption of the French slang for feces.
boogat,Boogat,Blacks,Comes from the similar idea of calling a black person a Spook. C. 1940s
boogie,Boogie,Blacks,Referring to Boogie Woogie form of jazz? Could come from W. African Buuker or Buckra meaning Devil Boogie man or White Man. Turned around and used against Blacks by Whites.
boogieman,Boogie Man,Whites,Enslaved African-Americans told tales to their children of a Boogie Man who would abduct you kill you or otherwise cause harm to you if you were to leave the plantation. The Boogie man of which they spoke was in essence the white man. (Possible connection tot the ghost like appearance of the KKK)
boojie,Boojie,Indians,Pronounced 'boo-jee'; refers to all the 7-11 workers of the world.
boomer,Boomer,Australian Aboriginals,They use boomerangs
boon,Boon,Blacks,Probably a derivation of Baboon or the black Boon Bug beetle.
booner,Booner,Australian,Canberra word for bogan. Sometimes shortened too boon.
boong,Boong,Australian Aboriginals,Origin: Boonga is a native word from the Sydney area pre-1788 meaning anus.
boori,Boori,Australian Aboriginals,Same As Abo Coon Boong Moorindachi Pikinini.
bootlip,Bootlip,Blacks,During the Industrial boom of the auto industry and OSHA'a requirement of safety precautions workers were required to wear steel-toed boots.  Common steel-toed boots are black in color and have large bulky toes - referencing the size of black's lips.
borderbandit,Border Bandit,Mexicans,A Mexican who has crossed the border illegally. Also a BB
borderbunny,Border Bunny,Hispanics,Hopping the border to get into America.
bordernigger,Border Nigger,Hispanics,See Border Bunny.
border-hopper,Border-Hopper,Hispanics,Same as Border Bunny. Border-Jumper too.
bosants,Bosants,Bosnians,A non derogatory name of themselves bosanats turned derogatory in Slovenia a word bos also means barefoot many Bosnians are muslim and walk barefoot around the house mosque etc.
bosch,Bosch,Germans,French WW2 term. Name of a big german tool and machine producer?
boskur,Boskur,Bosnians,a mix of Bosnian and chefur used derogatory in Slovenia typically hard uneducated workers from Bosnia and Hercegovina
boss,Boss,Whites,Commonly used by American minority groups (blacks hispanics asians) to refer to white people.
boudreaux,Boudreaux,Cajuns,Common name among Cajuns.
bountybar,Bounty Bar,Blacks,The Bounty Bar is a coconut filled chocolate bar so it's brown on the outside but white on the inside.  An insult to (for example) black police officers in England.
bourbon,Bourbon,Blacks,Bourbon are brown coloured brown cream filled biscuits. Possibly a variant of eggplant. Bourbon is also a dark alchoholic drink
bowbender,Bow Bender,Native Americans,Indians shot bows.
boxcutter,Boxcutter,Arabs,September 11th
boxhead,Boxhead,Germans,Germans typically have or are thought to have rather square heads.
boy,Boy,Blacks,Originated during slavery. Used to belittle blacks.
bozak,Bozak,Blacks,Pronounced (bow-zack) southern term for a big black man.  thats one black bozak
bozgor,Bozgor,Hungarians,Term used in Eastern Europe for Hungarian-Ethnics living in different countries after WWI. It means man without country or just imitates Hungarian talking.
bracero,Bracero,Mexicans,Spanish term for a Mexican migrant worker
brady,Brady,Whites,From TV show The Brady Bunch especially used to make the point that whites are acting uncool. A variation is to refer to someone by the names of one of the Brady Bunch childreni.e. Peter Marsha etc.
branchmanager,Branch Manager,Blacks,Monkeys climb trees.
brassankle,Brass Ankle,Mixed Races,Refers to a person of black and white heritage who passes for a white person. Unsure of origins.
